Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,2.3,0.0,0.0,0.0,18.2,14.5,9.9,2.6,4.0,1.3,12,-2.7,0.0,65.1,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,2.3,0.0,0.0,0.0,18.2,14.5,9.9,2.6,4.0,1.3,12,-2.7,0.0,65.1,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,2.3,0.0,0.0,0.0,18.2,14.5,9.9,2.6,4.0,1.3,2,-2.7,0.0,55.1,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,2.3,0.0,1.3,0.0,11.6,1.3,5.0,9.9,0.0,5.3,12,-0.0,0.0,51.7,Loss
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,2.3,0.0,1.3,0.0,11.6,1.3,5.0,9.9,0.0,5.3,0,-0.0,0.0,39.7,Loss
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,2.3,0.0,1.3,0.0,11.6,1.3,5.0,9.9,0.0,5.3,2,-0.0,0.0,41.7,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,0,0.0,0.0,0.0,0.0,6.6,2.6,1.0,0.0,0.0,0.0,0,-0.7,0.0,9.5,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,0.0,0.0,0.0,0.0,6.6,2.6,1.0,0.0,0.0,0.0,2,-0.7,0.0,14.5,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,0.0,0.0,0.0,0.0,6.6,2.6,1.0,0.0,0.0,0.0,0,-0.7,0.0,12.5,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,4.6,0.0,0.0,0.0,11.6,6.6,5.0,2.6,0.0,0.0,2,-0.7,0.0,34.7,Win
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,0,4.6,0.0,0.0,0.0,11.6,6.6,5.0,2.6,0.0,0.0,0,-0.7,0.0,29.7,Win
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,4.6,0.0,0.0,0.0,11.6,6.6,5.0,2.6,0.0,0.0,2,-0.7,0.0,34.7,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,4.6,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,4.0,2,-0.7,0.0,19.5,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,4.6,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,4.0,2,-0.7,0.0,19.5,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,3,4.6,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,4.0,0,-0.7,0.0,17.5,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,6.9,0.0,0.0,0.0,16.5,6.6,0.0,0.0,0.0,0.0,2,-0.0,0.0,35.0,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,6.9,0.0,0.0,0.0,16.5,6.6,0.0,0.0,0.0,0.0,2,-0.0,0.0,35.0,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,0,6.9,0.0,0.0,0.0,16.5,6.6,0.0,0.0,0.0,0.0,0,-0.0,0.0,30.0,Win
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,0.0,0.0,0.0,0.0,6.6,4.0,0.0,2.6,2.0,2.6,0,-4.7,0.0,16.1,Loss
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,0.0,0.0,0.0,0.0,6.6,4.0,0.0,2.6,2.0,2.6,12,-4.7,0.0,28.1,Loss
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,0,0.0,0.0,0.0,0.0,6.6,4.0,0.0,2.6,2.0,2.6,2,-4.7,0.0,15.1,Loss
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,3,11.6,0.0,0.0,0.0,18.2,11.9,6.9,5.3,4.0,4.0,0,-0.7,0.0,64.2,Win
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,11.6,0.0,0.0,0.0,18.2,11.9,6.9,5.3,4.0,4.0,12,-0.7,0.0,76.2,Win
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,11.6,0.0,0.0,0.0,18.2,11.9,6.9,5.3,4.0,4.0,12,-0.7,0.0,76.2,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,9.2,0.0,0.0,1.0,18.2,2.6,3.0,0.7,0.0,0.0,2,-0.0,0.0,39.7,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,9.2,0.0,0.0,1.0,18.2,2.6,3.0,0.7,0.0,0.0,12,-0.0,0.0,49.7,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,9.2,0.0,0.0,1.0,18.2,2.6,3.0,0.7,0.0,0.0,2,-0.0,0.0,39.7,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,0,4.6,0.0,1.3,0.0,18.2,10.6,4.0,3.3,0.0,0.0,0,-0.0,0.0,42.0,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,4.6,0.0,1.3,0.0,18.2,10.6,4.0,3.3,0.0,0.0,2,-0.0,0.0,47.0,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,4.6,0.0,1.3,0.0,18.2,10.6,4.0,3.3,0.0,0.0,12,-0.0,0.0,57.0,Win
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,0.0,0.0,0.0,0.0,6.6,0.0,0.0,1.3,0.0,0.0,2,-0.0,0.0,12.9,Loss
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,1.3,0.0,0.0,2,-0.0,0.0,9.9,Loss
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,0.0,0.0,0.0,0.0,6.6,0.0,0.0,1.3,0.0,0.0,2,-0.0,0.0,12.9,Loss
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,6.9,0.0,1.3,0.0,16.5,7.9,5.0,3.3,0.0,0.0,0,-0.0,0.0,43.9,Win
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,6.9,0.0,1.3,0.0,16.5,7.9,5.0,3.3,0.0,0.0,2,-0.0,0.0,45.9,Win
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,6.9,0.0,1.3,0.0,16.5,7.9,5.0,3.3,0.0,0.0,0,-0.0,0.0,43.9,Win
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,0,2.3,0.0,0.0,1.0,18.2,1.3,0.0,2.0,0.0,6.6,0,-0.0,0.0,31.4,Win
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,2.3,0.0,0.0,1.0,18.2,1.3,0.0,2.0,0.0,6.6,2,-0.0,0.0,36.4,Win
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,2.3,0.0,0.0,1.0,18.2,1.3,0.0,2.0,0.0,6.6,2,-0.0,0.0,36.4,Win
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,4.6,0.0,0.0,0.0,13.2,5.3,1.0,0.7,2.0,0.0,2,-0.7,0.0,31.1,Loss
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,4.6,0.0,0.0,0.0,13.2,5.3,1.0,0.7,2.0,0.0,0,-0.7,0.0,29.1,Loss
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,4.6,0.0,0.0,0.0,13.2,5.3,1.0,0.7,2.0,0.0,2,-0.7,0.0,31.1,Loss
Quals 8 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,4.6,0.0,0.0,0.0,13.2,5.3,0.0,0.7,0.0,6.6,0,-2.0,0.0,31.4,Loss
Quals 8 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,0,4.6,0.0,0.0,0.0,13.2,5.3,0.0,0.7,0.0,6.6,0,-2.0,0.0,28.4,Loss
Quals 8 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,4.6,0.0,0.0,0.0,13.2,5.3,0.0,0.7,0.0,6.6,2,-2.0,0.0,33.4,Loss
Quals 8 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,3,6.9,0.0,0.0,0.0,18.2,0.0,3.0,2.0,0.0,0.0,0,-2.0,0.0,31.1,Win
Quals 8 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,3,6.9,0.0,0.0,0.0,18.2,0.0,3.0,2.0,0.0,0.0,0,-2.0,0.0,31.1,Win
Quals 8 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,6.9,0.0,0.0,0.0,18.2,0.0,3.0,2.0,0.0,0.0,0,-2.0,0.0,31.1,Win
Quals 9 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,6.9,0.0,0.0,0.0,18.2,2.6,3.0,0.7,0.0,6.6,2,-2.0,0.0,41.0,Win
Quals 9 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,6.9,0.0,0.0,0.0,18.2,2.6,3.0,0.7,0.0,6.6,2,-2.0,0.0,41.0,Win
Quals 9 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,0,6.9,0.0,0.0,0.0,18.2,2.6,3.0,0.7,0.0,6.6,0,-2.0,0.0,36.0,Win
Quals 9 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,4.6,0.0,1.3,0.0,3.3,6.6,6.9,3.3,2.0,0.0,0,-0.0,0.0,31.0,Loss
Quals 9 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,4.6,0.0,1.3,0.0,3.3,6.6,6.9,3.3,2.0,0.0,2,-0.0,0.0,33.0,Loss
Quals 9 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,3,4.6,0.0,1.3,0.0,3.3,6.6,6.9,3.3,2.0,0.0,2,-0.0,0.0,33.0,Loss
Quals 10 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,4.6,0.0,0.0,0.0,9.9,6.6,5.9,4.0,4.0,1.3,12,-0.7,0.0,50.6,Win
Quals 10 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,4.6,0.0,0.0,0.0,9.9,6.6,5.9,4.0,4.0,1.3,2,-0.7,0.0,40.6,Win
Quals 10 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,4.6,0.0,0.0,0.0,9.9,6.6,5.9,4.0,4.0,1.3,2,-0.7,0.0,40.6,Win
Quals 10 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,4.6,0.0,0.0,0.0,6.6,1.3,2.0,0.0,4.0,2.6,0,-2.7,0.0,21.4,Loss
Quals 10 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,0,4.6,0.0,0.0,0.0,6.6,1.3,2.0,0.0,4.0,2.6,0,-2.7,0.0,18.4,Loss
Quals 10 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,4.6,0.0,0.0,0.0,6.6,1.3,2.0,0.0,4.0,2.6,2,-2.7,0.0,23.4,Loss
Quals 11 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,6.9,0.0,0.0,1.0,18.2,6.6,0.0,0.0,4.0,2.6,0,-0.7,0.0,41.6,Loss
Quals 11 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,3,6.9,0.0,0.0,1.0,18.2,6.6,0.0,0.0,4.0,2.6,0,-0.7,0.0,41.6,Loss
Quals 11 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,3,6.9,0.0,0.0,1.0,18.2,6.6,0.0,0.0,4.0,2.6,2,-0.7,0.0,43.6,Loss
Quals 11 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,9.2,0.0,1.3,0.0,9.9,7.9,5.0,3.3,4.0,2.6,2,-0.7,0.0,47.5,Win
Quals 11 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,9.2,0.0,1.3,0.0,9.9,7.9,5.0,3.3,4.0,2.6,12,-0.7,0.0,57.5,Win
Quals 11 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,9.2,0.0,1.3,0.0,9.9,7.9,5.0,3.3,4.0,2.6,0,-0.7,0.0,45.5,Win
Quals 12 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,2.3,0.0,0.0,0.0,11.6,2.6,0.0,0.0,0.0,0.0,12,-0.0,0.0,31.5,Win
Quals 12 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,3,2.3,0.0,0.0,0.0,11.6,2.6,0.0,0.0,0.0,0.0,0,-0.0,0.0,19.5,Win
Quals 12 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,2.3,0.0,0.0,0.0,11.6,2.6,0.0,0.0,0.0,0.0,12,-0.0,0.0,31.5,Win
Quals 12 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,2.3,0.0,0.0,0.0,16.5,0.0,2.0,1.3,0.0,0.0,0,-4.7,0.0,20.4,Loss
Quals 12 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,2.3,0.0,0.0,0.0,16.5,0.0,2.0,1.3,0.0,0.0,0,-4.7,0.0,20.4,Loss
Quals 12 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,0,2.3,0.0,0.0,0.0,16.5,0.0,2.0,1.3,0.0,0.0,2,-4.7,0.0,19.4,Loss
Quals 13 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,0.0,0.0,2.6,0.0,8.2,10.6,6.9,4.0,4.0,2.6,12,-0.7,0.0,53.2,Win
Quals 13 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,0.0,0.0,2.6,0.0,8.2,10.6,6.9,4.0,4.0,2.6,12,-0.7,0.0,53.2,Win
Quals 13 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,0.0,0.0,2.6,0.0,8.2,10.6,6.9,4.0,4.0,2.6,2,-0.7,0.0,43.2,Win
Quals 13 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.6,0,-0.0,0.0,10.6,Loss
Quals 13 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.6,2,-0.0,0.0,15.6,Loss
Quals 13 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.6,2,-0.0,0.0,12.6,Loss
Quals 14 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,6.9,0.0,0.0,0.0,13.2,10.6,8.9,2.0,2.0,4.0,12,-2.0,0.0,60.6,Win
Quals 14 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,6.9,0.0,0.0,0.0,13.2,10.6,8.9,2.0,2.0,4.0,12,-2.0,0.0,60.6,Win
Quals 14 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,6.9,0.0,0.0,0.0,13.2,10.6,8.9,2.0,2.0,4.0,0,-2.0,0.0,48.6,Win
Quals 14 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,3,4.6,0.0,0.0,0.0,9.9,5.3,5.0,1.3,2.0,1.3,2,-0.0,0.0,34.4,Loss
Quals 14 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,4.6,0.0,0.0,0.0,9.9,5.3,5.0,1.3,2.0,1.3,2,-0.0,0.0,34.4,Loss
Quals 14 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,3,4.6,0.0,0.0,0.0,9.9,5.3,5.0,1.3,2.0,1.3,0,-0.0,0.0,32.4,Loss
Quals 15 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,2.3,0.0,0.0,0.0,18.2,1.3,1.0,0.0,0.0,0.0,0,-0.7,0.0,25.1,Win
Quals 15 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,3,2.3,0.0,0.0,0.0,18.2,1.3,1.0,0.0,0.0,0.0,0,-0.7,0.0,25.1,Win
Quals 15 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,2.3,0.0,0.0,0.0,18.2,1.3,1.0,0.0,0.0,0.0,2,-0.7,0.0,27.1,Win
Quals 15 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,3,0.0,0.0,0.0,0.0,3.3,2.6,0.0,2.0,0.0,0.0,2,-6.0,0.0,6.9,Loss
Quals 15 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,0.0,0.0,0.0,0.0,3.3,2.6,0.0,2.0,0.0,0.0,12,-6.0,0.0,16.9,Loss
Quals 15 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,0.0,0.0,0.0,0.0,3.3,2.6,0.0,2.0,0.0,0.0,0,-6.0,0.0,4.9,Loss
Quals 16 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,0.0,0.0,1.3,0.0,0.0,10.6,7.9,11.9,2.0,0.0,12,-0.0,0.0,48.7,Win
Quals 16 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,0.0,0.0,1.3,0.0,0.0,10.6,7.9,11.9,2.0,0.0,0,-0.0,0.0,36.7,Win
Quals 16 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,0.0,0.0,1.3,0.0,0.0,10.6,7.9,11.9,2.0,0.0,12,-0.0,0.0,48.7,Win
Quals 16 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,3,2.3,0.0,0.0,0.0,8.2,1.3,2.0,4.0,0.0,0.0,0,-0.0,0.0,20.8,Loss
Quals 16 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,2.3,0.0,0.0,0.0,8.2,1.3,2.0,4.0,0.0,0.0,2,-0.0,0.0,22.8,Loss
Quals 16 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,2.3,0.0,0.0,0.0,8.2,1.3,2.0,4.0,0.0,0.0,12,-0.0,0.0,32.8,Loss
Quals 17 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,4.6,0.0,0.0,0.0,13.2,7.9,5.9,0.0,0.0,2.6,2,-0.0,0.0,39.2,Win
Quals 17 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,4.6,0.0,0.0,0.0,13.2,7.9,5.9,0.0,0.0,2.6,12,-0.0,0.0,49.2,Win
Quals 17 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,4.6,0.0,0.0,0.0,13.2,7.9,5.9,0.0,0.0,2.6,2,-0.0,0.0,39.2,Win
Quals 17 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,0.0,0.0,0.0,0.0,11.6,13.2,6.9,3.3,0.0,2.6,0,-4.0,0.0,36.6,Loss
Quals 17 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,0.0,0.0,0.0,0.0,11.6,13.2,6.9,3.3,0.0,2.6,2,-4.0,0.0,38.6,Loss
Quals 17 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,0.0,0.0,0.0,0.0,11.6,13.2,6.9,3.3,0.0,2.6,12,-4.0,0.0,48.6,Loss
